kanji,jlpt,onyomi,kunyomi,meanings
孜,N1,shi シ,tsuto(meru) つと(める),industriousness
霊,N1,"rei
ryou レイ
リョウ",tama たま,"spirits, soul"
帳,N1,chou チョウ,tobari とばり,"notebook, account book, album, curtain, veil, net, tent"
悔,N1,kai カイ,"ku(iru)
ku(yamu) く(いる)
く(やむ)","repent, regret"
諭,N1,yu ユ,sato(su) さと(す),"rebuke, admonish, charge, warn, persuade"
惨,N1,"san
zan サン
ザン","miji(me)
ita(mu)
mugo(i) みじ(め)
いた(む)
むご(い)","wretched, disaster, cruelty, harsh"
虐,N1,gyaku ギャク,shiita(geru) しいた(げる),"tyrannize, oppress"
翻,N1,"hon
han ホン
ハン",hirugae(ru) ひるがえ(る),"flip, turn over, wave, flutter, change (mind)"
墜,N1,tsui ツイ,"o(chiru)
o(tsu) お(ちる)
お(つ)","crash, fall (down)"
沼,N1,shou ショウ,numa ぬま,"marsh, lake, bog, swamp, pond"
据,N1,kyo キョ,"su(eru)
su(waru) す(える)
す(わる)","set, lay a foundation, install, equip, squat down, sit down"
肥,N1,hi ヒ,"ko(eru)
koe
ko(yasu)
futo(ru) こ(える)
こえ
こ(やす)
ふと(る)","fertilizer, get fat, fertile, manure, pamper"
徐,N1,jo ジョ,omomu(roni) おもむ(ろに),"gradually, slowly, deliberately, gently"
糖,N1,tou トウ,,sugar
搭,N1,tou トウ,,"board, load (a vehicle), ride"
盾,N1,jun ジュン,tate たて,"shield, escutcheon, pretext"
脈,N1,myaku ミャク,suji すじ,"vein, pulse, hope"
滝,N1,"rou
sou ロウ
ソウ",taki たき,"waterfall, rapids, cascade"
軌,N1,ki キ,,"rut, wheel, track, model, way of doing"
俵,N1,hyou ヒョウ,tawara たわら,"bag, bale, sack, counter for bags"
妨,N1,bou ボウ,samata(geru) さまた(げる),"disturb, prevent, hamper, obstruct"
盧,N1,ro ロ,,hut
擦,N1,satsu サツ,"su(ru)
-zu(re)
kosu(ru) す.る
-ず.れ
こす.る","grate, rub, scratch, scrape, chafe, scour"
鯨,N1,gei ゲイ,kujira くじら,whale
荘,N1,"sou
shou
chan ソウ
ショウ
チャン","houki
ogoso(ka) ほうき
おごそ(か)","villa, inn, cottage, feudal manor, solemn, dignified"
諾,N1,daku ダク,,"consent, assent, agreement"
雷,N1,rai ライ,"kamirari
ikazuchi
ikadzuchi かみなり
いかずち
いかづち","thunder, lightning bolt"
漂,N1,hyou ヒョウ,tadayo(u) ただよ(う),"drift, float (on liquid)"
懐,N1,"kai
e カイ
エ","futokoro
natsu(kashii)
nazu(keru)
ida(ku)
omo(u) ふところ
なつ(かしい)
なず(ける)
いだ(く)
おも(う)","feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket"
勘,N1,kan カン,,"intuition, perception, check, compare, sixth sense"
栽,N1,sai サイ,,"plantation, planting"
拐,N1,kai カイ,,"kidnap, falsify"
笠,N1,ryuu リュウ,kasa かさ,"bamboo hat, one's influence"
駄,N1,"da
ta ダ
タ",,"burdensome, pack horse, horse load, send by horse, trivial, worthless"
添,N1,ten テン,"so(eru)
so(u) そ(える)
そ(う)","annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate"
冠,N1,kan カン,kanmuri かんむり,"crown, best, peerless"
斜,N1,sha シャ,"nana(me)
hasu なな(め)
はす","diagonal, slanting, oblique"
鏡,N1,"kyou
kei キョウ
ケイ",kagami かがみ,"mirror, speculum, barrel-head, round rice-cake offering"
聡,N1,sou ソウ,"sato(i)
mimizato(i) さと(い)
みみざと(い)","wise, fast learner"
浪,N1,rou ロウ,,"wandering, waves, billows, reckless, unrestrained"
亜,N1,a ア,tsu(gu) つ(ぐ),"Asia, rank next, come after, -ous"
覧,N1,ran ラン,mi(ru) み(る),"perusal, see"
詐,N1,sa サ,itsuwa(ru) いつわ(る),"lie, falsehood, deceive, pretend"
壇,N1,"dan
tan ダン
タン",,"podium, stage, rostrum, terrace"
勲,N1,kun クン,isao いさお,"meritorious deed, merit"
魔,N1,ma マ,,"witch, demon, evil spirit"
酬,N1,"shuu
shu
tou シュウ
シュ
トウ",muku(iru) むく(いる),"repay, reward, retribution"
紫,N1,shi シ,murasaki むらさき,"purple, violet"
曙,N1,sho ショ,akebono あけぼの,"dawn, daybreak"
紋,N1,mon モン,,"family crest, figures"
卸,N1,sha シャ,"oro(su)
oroshi おろ(す)
おろし",wholesale
奮,N1,fun フン,furu(u) ふる(う),"stirred up, be invigorated, flourish"
趙,N1,"chou
jou
kyou チョウ
ジョウ
キョウ",,"nimble, late-going"
欄,N1,ran ラン,tesuri てすり,"column, handrail, blank, space"
逸,N1,itsu イツ,"so(reru)
hagu(reru) そ(れる)
はぐ(れる)","deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
涯,N1,gai ガイ,hate はて,"horizon, shore, limit, bound"
拓,N1,taku タク,hira(ku) ひら(く),"clear (the land), open, break up (land)"
眼,N1,"gan
gen ガン
ゲン","manako
me まなこ
め",eyeball
獄,N1,goku ゴク,,"prison, jail"
筑,N1,chiku チク,,an ancient musical instrument
尚,N1,shou ショウ,nao なお,"esteem, furthermore, still, yet"
阜,N1,"fu
fuu フ
フウ",,"hill, mound, left village radical (no. 170)"
彫,N1,chou チョウ,"ho(ru)
-bo(ri) ほ(る)
-ぼ(り)","carve, engrave, chisel"
穏,N1,on オン,oda(yaka) おだ(やか),"calm, quiet, moderation"
顕,N1,kun ケン,"akiraka
arawa(reru) あきらか
あらわ(れる)","appear, existing"
巧,N1,kou コウ,"taku(mi)
uma(i) たく(み)
うま(い)","adroit, skilled, ingenuity"
矛,N1,"mu
bou ム
ボウ",hoko ほこ,"halberd, arms, festival float"
垣,N1,en エン,kaki かき,"hedge, fence, wall"
欺,N1,gi ギ,azamu(ku) あざむ(く),"deceit, cheat, delude"
釣,N1,chou チョウ,tsu(ru) つ(る),"angling, fish, catch, allure, ensnare"
萩,N1,shuu シュウ,hagi はぎ,bush clover
粧,N1,shou ショウ,,"cosmetics, adorn (one's person)"
葛,N1,"katsu
kachi カツ
カチ","tsudzura
kuzu つづら
くず","arrowroot, kudzu"
粛,N1,"shuku
suku シュク
スク",tsutsushi(mu) つつし(む),"solemn, quietly, softly"
栗,N1,"ritsu
ri リツ
リ","kuri
ononoku くり
おののく",chestnut
愚,N1,gu グ,oro(ka) おろ(か),"foolish, folly, absurdity, stupid"
嘉,N1,ka カ,"yomi(suru)
yoi よみ(する)
よい","applaud, praise, esteem, happy, auspicious"
遭,N1,sou ソウ,"a(u)
a(waseru) あ(う)
あ(わせる)","encounter, meet, party, association, interview, join"
架,N1,ka カ,ka(keru) か(ける),"erect, frame, mount, support, shelf, construct"
篠,N1,"zou
shou ゾウ
ショウ","shino
sasa
suzu しの
ささ
すず",bamboo grass
鬼,N1,ki キ,oni おに,"ghost, devil"
庶,N1,sho ショ,,"commoner, all, bastard"
稚,N1,"chi
ji チ
ジ","itokenai
osanai
okute
oderu いとけない
おさない
おくて
おでる","immature, young"
菅,N1,"kan
ken カン
ケン",suge すげ,sedge
滋,N1,"ji
shi ジ
シ",,"nourishing, more & more, be luxuriant, planting, turbidity"
幻,N1,gen ゲン,maboroshi まぼろし,"phantasm, vision, dream, illusion, apparition"
煮,N1,sha シャ,"ni(ru)
-ni に(る)
-に","boil, cook"
姫,N1,ki キ,"hime
hime- ひめ
ひめ-",princess
誓,N1,sei セイ,chika(u) ちか(う),"vow, swear, pledge"
把,N1,"ha
wa ハ
ワ",,"grasp, faggot, bunch, counter for bundles"
践,N1,sen セン,fu(mu) ふ(む),"tread, step on, trample, practice, carry through"
呈,N1,tei テイ,,"display, offer, present, send, exhibit"
疎,N1,"so
sho ソ
ショ","uto(i)
maba(ra) うと(い)
まば(ら)","alienate, rough, neglect, shun, sparse, penetrate"
仰,N1,"gyou
kou ギョウ
コウ","oo(gu)
o(ssharu) あお(ぐ)
お(っしゃる)","face-up, look up, depend, seek, respect, revere, drink, take"
剛,N1,gou ゴウ,,"sturdy, strength"
疾,N1,shitsu シツ,haya(i) はや(い),rapidly
征,N1,sei セイ,,"subjugate, attack the rebellious, collect taxes"
砕,N1,sai サイ,kuda(ku) くだ(く),"smash, break, crush, familiar, popular"
謡,N1,you ヨウ,uta(i) うた(い),"song, sing, ballad, noh chanting"
嫁,N1,ka カ,"yome
totsu(gu)
i(ku)
yu(ku) よめ
とつ(ぐ)
い(く)
ゆ(く)","marry into, bride"
謙,N1,ken ケン,herikuda(ru) へりくだ(る),"self-effacing, humble oneself, condescend, be modest"
后,N1,"kou
go コウ
ゴ",kisaki きさき,"empress, queen, after, behind, back, later"
嘆,N1,tan タン,"nage(ku)
nage(kawashii) なげ(く)
なげ(かわしい)","sigh, lament, moan, grieve, sigh of admiration"
俣,N1,,mata また,"crotch, thigh, groin, fork, junction, (kokuji)"
菌,N1,kin キン,,"germ, fungus, bacteria"
鎌,N1,"ren
ken レン
ケン",kama かま,"sickle, scythe, trick"
巣,N1,sou ソウ,"su
su(kuu) す
す(くう)","nest, rookery, hive, cobweb, den"
頻,N1,hin ヒン,shiki(rini) しき(りに),"repeatedly, recur"
琴,N1,"kin
gon キン
ゴン",koto こと,"harp, koto"
班,N1,han ハン,,"squad, corps, unit, group"
淵,N1,"en
kaku
kou エン
カク
コウ","fuchi
kata(i)
hanawa ふち
かた(い)
はなわ","abyss, edge, deep pool, the depths"
棚,N1,hou ホウ,"tana
-dana たな
-だな","shelf, ledge, rack, mount, mantle, trellis"
潔,N1,ketsu ケツ,isagiyo(i) いさぎよ(い),"undefiled, pure, clean, righteous, gallant"
酷,N1,koku コク,hido(i) ひど(い),"cruel, severe, atrocious, unjust"
宰,N1,sai サイ,,"superintend, manager, rule"
廊,N1,rou ロウ,,"corridor, hall, tower"
寂,N1,"jaku
seki ジャク
セキ","sabi
sabi(shii)
sami(shii) さび
さび(しい)
さみ(しい)","loneliness, quietly, mellow, mature, death of a priest"
辰,N1,"shin
jin シン
ジン",tatsu たつ,"sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)"
霞,N1,"ka
ge カ
ゲ","kasumi
kasu(mu) かすみ
かす(む)","be hazy, grow dim, blurred"
伏,N1,fuku フク,"fu(seru)
fu(su) ふ(せる)
ふ(す)","prostrated, bend down, bow, cover, lay (pipes)"
柏,N1,"haku
hyaku
byaku ハク
ヒャク
ビャク",kashiwa かしわ,"oak, cypress"
碁,N1,go ゴ,,Go
俗,N1,zoku ゾク,,"vulgar, customs, manners, worldliness, mundane things"
漠,N1,baku バク,,"vague, obscure, desert, wide"
邪,N1,ja ジャ,yokoshi(ma) よこし(ま),"wicked, injustice, wrong"
晶,N1,shou ショウ,,"sparkle, clear, crystal"
辻,N1,,tsuji つじ,"crossing, crossroad, street corners, (kokuji)"
墨,N1,boku ボク,sumi すみ,"black ink, India ink, ink stick, Mexico"
鎮,N1,chin チン,"shizu(meru)
osae しず(める)
おさえ","tranquilize, ancient peace-preservation centers"
洞,N1,dou ドウ,hora ほら,"den, cave, excavation"
履,N1,ri リ,ha(ku) は(く),"perform, complete, footgear, shoes, boots, put on (the feet)"
劣,N1,retsu レツ,oto(ru) おと(る),"inferiority, be inferior to, be worse"
那,N1,"na
da ナ
ダ","nani
nanzo
ikan なに
なんぞ
いかん",what?
殴,N1,ou オウ,nagu(ru) なぐ(る),"assault, hit, beat, thrash"
娠,N1,shin シン,,"with child, pregnancy"
奉,N1,"hou
bu ホウ
ブ","tatematsu(ru)
matsu(ru)
hou(zuru) たてまつ(る)
まつ(る)
ほう(ずる)","observance, offer, present, dedicate"
憂,N1,yuu ユウ,"ure(eru)
ure(i)
u(i)
u(ki) うれ(える)
うれ(い)
う(い)
う(き)","melancholy, grieve, lament, be anxious, sad, unhappy"
朴,N1,boku ボク,"hou
hoo
enoki ほう
ほお
えのき","crude, simple, plain, docile"
亭,N1,"tei
chin テイ
チン",,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name"
淳,N1,"jun
shun ジュン
シュン",atsu(i) あつ(い),pure
荻,N1,teki テキ,ogi おぎ,"reed, rush"
嶋,N1,tou トウ,shima しま,island
怪,N1,"kai
ke カイ
ケ","aya(shii)
aya(shimu) あや(しい)
あや(しむ)","suspicious, mystery, apparition"
鳩,N1,"kyuu
ku キュウ
ク","hato
atsu(meru) はと
あつ(める)","pigeon, dove"
柴,N1,"sai
shi サイ
シ",shiba しば,"brush, firewood"
酔,N1,sui スイ,"yo(u)
yo(i)
yo よ(う)
よ(い)
よ","drunk, feel sick, poisoned, elated, spellbound"
惜,N1,seki セキ,"o(shii)
o(shimu) お(しい)
お(しむ)","pity, be sparing of, frugal, stingy, regret"
穫,N1,kaku カク,,"harvest, reap"
佳,N1,ka カ,,"excellent, beautiful, good, pleasing, skilled"
潤,N1,jun ジュン,"uruo(u)
uru(mu) うるお(う)
うる(む)","wet, be watered, profit by, receive benefits, favor, charm, steep"
悼,N1,tou トウ,ita(mu) いた(む),"lament, grieve over"
乏,N1,bou ボウ,"tobo(shii)
tomo(shii) とぼ(しい)
とも(しい)","destitution, scarce, limited"
該,N1,gai ガイ,,"above-stated, the said, that specific"
赴,N1,fu フ,omomu(ku) おもむ(く),"proceed, get, become, tend"
桑,N1,sou ソウ,kuwa くわ,mulberry
桂,N1,kei ケイ,katsura かつら,"Japanese Judas-tree, cinnamon tree"
髄,N1,zui ズイ,,"marrow, pith, essence"
虎,N1,ko コ,tora とら,"tiger, drunkard"
盆,N1,bon ボン,,"basin, lantern festival, tray"
晋,N1,shin シン,susu(mu) すす(む),advance
穂,N1,sui スイ,ho ほ,"ear, ear (grain), head, crest (wave)"
壮,N1,sou ソウ,sakan さかん,"robust, manhood, prosperity"
堤,N1,tei テイ,tsutsumi つつみ,"dike, bank, embankment"
飢,N1,ki キ,u(eru) う(える),"hungry, starve"
傍,N1,bou ボウ,"katawa(ra)
waki
oka-
hata
soba かたわ(ら)
わき
おか-
はた
そば","bystander, side, besides, while, nearby, third person"
疫,N1,"eki
yaku エキ
ヤク",,epidemic
累,N1,rui ルイ,,"accumulate, involvement, trouble, tie up, continually"
痴,N1,chi チ,"shi(reru)
oroka し(れる)
おろか","stupid, foolish"
搬,N1,han ハン,,"conveyor, carry, transport"
晃,N1,kou コウ,akiraka あきらか,clear
癒,N1,yu ユ,"i(eru)
iya(su) い(える)
いや(す)","healing, cure, quench (thirst), wreak"
桐,N1,"tou
dou トウ
ドウ",kiri きり,paulownia
寸,N1,sun スン,,"measurement, tenth of a shaku, a little, small"
郭,N1,kaku カク,kuruwa くるわ,"enclosure, quarters, fortification, red-light district"
尿,N1,nyou ニョウ,"yubari
ibari
shito ゆばり
いばり
しと",urine
凶,N1,kyou キョウ,,"villain, evil, bad luck, disaster"
吐,N1,to ト,"ha(ku)
tsu(ku) は(く)
つ(く)","spit, vomit, belch, confess, tell (lies)"
宴,N1,en エン,utage うたげ,"banquet, feast, party"
鷹,N1,"you
ou ヨウ
オウ",taka たか,hawk
賓,N1,hin ヒン,"maroudo
shitagau まろうど
したがう","V.I.P., guest"
虜,N1,"ryo
ro リョ
ロ","toriko
toriku とりこ
とりく","captive, barbarian, low epithet for the enemy"
陶,N1,tou トウ,sue すえ,"pottery, porcelain"
鐘,N1,shou ショウ,kane かね,"bell, gong, chimes"
憾,N1,kan カン,ura(mu) うら(む),"remorse, regret, be sorry"
畿,N1,ki キ,miyako みやこ,"capital, suburbs of capital"
猪,N1,cho チョ,"i
inoshishi い
いのしし",boar
紘,N1,kou コウ,"oodzuna
tsuna
tsunagu おおづな
つな
つなぐ",large
磁,N1,ji ジ,,"magnet, porcelain"
弥,N1,"mi
bi ミ
ビ","ya
iya
iyo(iyo)
wata(ru) や
いや
いよ(いよ)
わた(る)","all the more, increasingly"
昆,N1,kon コン,,"descendants, elder brother, insect"
粗,N1,so ソ,"ara(i)
ara- あら(い)
あら-","coarse, rough, rugged"
訂,N1,tei テイ,tada(su) ただ(す),"revise, correct, decide"
芽,N1,ga ガ,me め,"bud, sprout, spear, germ"
尻,N1,kou コウ,shiri しり,"buttocks, hips, butt, rear"
庄,N1,"shou
so
sou
hou ショウ
ソ
ソウ
ホウ",,"level, in the country, manor, village, hamlet"
傘,N1,san サン,kasa かさ,umbrella
敦,N1,"ton
tai
dan
chou トン
タイ
ダン
チョウ",atsu(i) あつ(い),"industry, kindliness"
騎,N1,ki キ,,"equestrian, riding on horses, counter for equestrians"
寧,N1,nei ネイ,mushi(ro) むし(ろ),"rather, preferably, peaceful, quiet, tranquility"
循,N1,jun ジュン,,"sequential, follow"
忍,N1,nin ニン,"shino(bu)
shino(baseru) しの(ぶ)
しの(ばせる)","endure, bear, put up with, conceal, secrete, spy, sneak"
磐,N1,"ban
han バン
ハン",iwa いわ,"rock, crag, cliff, wall (in a mine)"
怠,N1,tai タイ,"okota(ru)
nama(keru) おこた(る)
なま(ける)","neglect, laziness"
如,N1,"jo
nyo ジョ
ニョ",goto(shi) ごと(し),"likeness, like, such as, as if, better, best, equal"
寮,N1,ryou リョウ,,"dormitory, hostel, villa, tea pavillion"
祐,N1,"yuu
u ユウ
ウ",tasu(keru) たす(ける),help
鵬,N1,hou ホウ,ootori おおとり,phoenix
鉛,N1,en エン,namari なまり,lead
珠,N1,shu シュ,tama たま,"pearl, gem, jewel"
凝,N1,gyou ギョウ,"ko(ru)
kogo(rasu) こ(る)
こご(らす)","congeal, freeze, stiff, be absorbed in"
苗,N1,"byou
myou ビョウ
ミョウ","nae
nawa- なえ
なわ-","seedling, sapling, shoot"
獣,N1,juu ジュウ,"kemono
kedamono けもの
けだもの","animal, beast"
哀,N1,ai アイ,"awa(re)
kana(shii) あわ(れ)
かな(しい)","pathetic, grief, sorrow, pathos, pity, sympathize"
跳,N1,chou チョウ,"ha(neru)
to(bu)
-to(bi) は(ねる)
と(ぶ)
-と(び)","hop, leap up, spring, jerk, prance, buck, splash, sputter, snap"
匠,N1,shou ショウ,takumi たくみ,"artisan, workman, carpenter"
垂,N1,sui スイ,"ta(reru)
-ta(re)
nannanto(su) た(れる)
-た(れ)
なんなんと(す)","droop, suspend, hang, slouch"
蛇,N1,"ja
da
i
ya ジャ
ダ
イ
ヤ",hebi へび,"snake, serpent, hard drinker"
澄,N1,chou チョウ,"su(mu)
su(masu)
-su(masu) す(む)
す(ます)
-す(ます)","lucidity, be clear, clear, clarify, settle, strain, look grave"
縫,N1,hou ホウ,nu(u) ぬ(う),"sew, stitch, embroider"
僧,N1,sou ソウ,,"Buddhist priest, monk"
眺,N1,chou チョウ,naga(meru) なが(める),"stare, watch, look at, see, scrutinize"
唐,N1,tou トウ,kara から,"T'ang, China, foreign"
亘,N1,"kou
kan
sen コウ
カン
セン","wata(ru)
moto(meru) わた(る)
もと(める)","span, range, extend over"
呉,N1,go ゴ,ku(reru) く(れる),"give, do something for, kingdom of Wu"
凡,N1,"bon
han ボン
ハン","oyo(so)
ouyo(so)
sube(te) およ(そ)
おうよ(そ)
すべ(て)","commonplace, ordinary, mediocre"
憩,N1,kei ケイ,"iko(i)
iko(u) いこ(い)
いこ(う)","recess, rest, relax, repose"
鄭,N1,"tei
jou テイ
ジョウ",,an ancient Chinese province
芦,N1,ro ロ,"ashi
yoshi あし
よし","reed, bullrush"
龍,N1,"ryuu
ryou
rou リュウ
リョウ
ロウ",tatsu たつ,"dragon, imperial"
媛,N1,en エン,hime ひめ,"beautiful woman, princess"
溝,N1,kou コウ,mizo みぞ,"gutter, ditch, sewer, drain, 10**32"
恭,N1,kyou キョウ,uyauya(shii) うやうや(しい),"respect, reverent"
刈,N1,"gai
kai ガイ
カイ",ka(ru) か(る),"reap, cut, clip, trim, prune"
睡,N1,sui スイ,"nemu(ru)
nemu(i) ねむ(る)
ねむ(い)","drowsy, sleep, die"
錯,N1,"saku
shaku サク
シャク",,"confused, mix, be in disorder"
伯,N1,haku ハク,,"chief, count, earl, uncle, Brazil"
笹,N1,,sasa ささ,"bamboo grass, (kokuji)"
穀,N1,koku コク,,"cereals, grain"
柿,N1,shi シ,kaki かき,persimmon
陵,N1,ryou リョウ,misasagi みささぎ,"mausoleum, imperial tomb, mound, hill"
霧,N1,"mu
bou
bu ム
ボウ
ブ",kiri きり,"fog, mist"
魂,N1,kon コン,"tamashii
tama たましい
たま","soul, spirit"
弊,N1,hei ヘイ,,"abuse, evil, vice, breakage"
釧,N1,sen セン,"kushiro
udewa くしろ
うでわ",bracelet
妃,N1,hi ヒ,kisaki きさき,"queen, princess"
舶,N1,haku ハク,,"liner, ship"
餓,N1,ga ガ,u(eru) う(える),"starve, hungry, thirst"
腎,N1,jin ジン,,kidney
窮,N1,"kyuu
kyou キュウ
キョウ",kiwa(meru) きわ(める),"hard up, destitute, suffer, perplexed, cornered"
掌,N1,shou ショウ,"tenohira
tanagokoro てのひら
たなごころ","manipulate, rule, administer, conduct, palm of hand"
麗,N1,rei レイ,"uruwa(shii)
ura(raka) うるわ(しい)
うら(らか)","lovely, beautiful, graceful, resplendent"
綾,N1,rin リン,aya あや,"design, figured cloth, twill"
臭,N1,shuu シュウ,"kusa(i)
-kusa(i)
nio(u) くさ(い)
-くさ(い)
にお(う)","stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant"
釜,N1,fu フ,kama かま,"kettle, cauldron, iron pot"
悦,N1,etsu エツ,yoroko(bu) よろこ(ぶ),"ecstasy, joy, rapture"
刃,N1,"jin
nin ジン
ニン","ha
yaiba
ki(ru) は
やいば
き(る)","blade, sword, edge"
縛,N1,baku バク,shiba(ru) しば(る),"truss, arrest, bind, tie, restrain"
暦,N1,"reki
ryaku レキ
リャク",koyomi こよみ,"calendar, almanac"
宜,N1,gi ギ,yoro(shii) よろ(しい),"best regards, good"
盲,N1,mou モウ,mekura めくら,"blind, blind man, ignoramus"
粋,N1,sui スイ,iki いき,"chic, style, purity, essence, pith, cream, elite, choice"
辱,N1,joku ジョク,hazukashi(meru) はずかし(める),"embarrass, humiliate, shame"
毅,N1,"ki
gi キ
ギ",tsuyo(i) つよ(い),strong
轄,N1,katsu カツ,kusabi くさび,"control, wedge"
猿,N1,en エン,saru さる,monkey
弦,N1,gen ゲン,tsuru つる,"bowstring, chord, hypotenuse"
嶌,N1,tou トウ,shima しま,island
稔,N1,"nen
jin
nin ネン
ジン
ニン","mino(ru)
minori みの(る)
みのり","harvest, ripen"
窒,N1,chitsu チツ,,"plug up, obstruct"
炊,N1,sui スイ,"ta(ku)
-da(ki) た(く)
-だ(き)","cook, boil"
洪,N1,kou コウ,,"deluge, flood, vast"
摂,N1,"setsu
shou セツ
ショウ","osa(meru)
kane(ru)
to(ru) おさ(める)
かね(る)
と(る)","vicarious, surrogate, act in addition to, take in, absorb"
飽,N1,hou ホウ,"a(kiru)
a(kasu)
a(ku) あ(きる)
あ(かす)
あ(く)","sated, tired of, bored, satiate"
函,N1,kan カン,"hako
i(reru) はこ
い(れる)",box (archaic)
冗,N1,jou ジョウ,,"superfluous, uselessness"
桃,N1,tou トウ,momo もも,peach
狩,N1,shu シュ,"ka(ru)
ka(ri)
-ga(ri) か(る)
か(り)
-が(り)","hunt, raid, gather"
朱,N1,shu シュ,ake あけ,"vermilion, cinnabar, scarlet, red, bloody"
渦,N1,ka カ,uzu うず,"whirlpool, eddy, vortex"
紳,N1,shin シン,,"sire, good belt, gentleman"
枢,N1,"suu
shu スウ
シュ","toboso
karakuri とぼそ
からくり","hinge, pivot, door, center of things"
碑,N1,hi ヒ,ishibumi いしぶみ,"tombstone, monument"
鍛,N1,tan タン,kita(eru) きた(える),"forge, discipline, train"
刀,N1,tou トウ,"katana
sori かたな
そり","sword, saber, knife"
鼓,N1,ko コ,tsudzumi つづみ,"drum, beat, rouse, muster"
裸,N1,ra ラ,hadaka はだか,"naked, nude, uncovered, partially clothed"
鴨,N1,ou オウ,"kamo
ahiru かも
あひる","wild duck, easy mark"
猶,N1,"yuu
yu ユウ
ユ",nao なお,"furthermore, still, yet"
塊,N1,"kai
ke カイ
ケ","katamari
tsuchikure かたまり
つちくれ","clod, lump, chunk, clot, mass"
旋,N1,sen セン,"mu(guru)
ibari め(ぐる)
いばり","rotation, go around"
弓,N1,kyuu キュウ,yumi ゆみ,"bow, bow (archery, violin)"
幣,N1,hei ヘイ,nusa ぬさ,"cash, bad habit, humble prefix, gift"
膜,N1,maku マク,,membrane
扇,N1,sen セン,ougi おうぎ,"fan, folding fan"
脇,N1,kyou キョウ,"waki
wake わき
わけ","armpit, the other way, another place, flank, supporting role"
腸,N1,chou チョウ,"harawata
wata はらわた
わた","intestines, guts, bowels, viscera"
槽,N1,sou ソウ,fune ふね,"vat, tub, tank"
鍋,N1,ka カ,nabe なべ,"pot, pan, kettle"
慈,N1,ji ジ,itsuku(shimu) いつく(しむ),mercy
樋,N1,tou トウ,"hi
toi ひ
とい","water pipe, gutter, downspout, conduit"
楊,N1,you ヨウ,yanagi やなぎ,willow
伐,N1,"batsu
hatsu
ka
bochi バツ
ハツ
カ
ボチ","ki(ru)
somu(ku)
u(tsu) き(る)
そむ(く)
う(つ)","fell, strike, attack, punish"
駿,N1,"shun
sun シュン
スン",sugu(reru) すぐ(れる),"a good horse, speed, a fast person"
漬,N1,shi シ,"tsu(keru)
-dzuke つ(ける)
-づけ","pickling, soak, moisten, steep"
糾,N1,kyuu キュウ,tada(su) ただ(す),"twist, ask, investigate, verify"
亮,N1,ryou リョウ,akiraka あきらか,"clear, help"
墳,N1,fun フン,,"tomb, mound"
坪,N1,hei ヘイ,tsubo つぼ,"two-mat area, approx. thirty-six sq ft"
紺,N1,kon コン,,"dark blue, navy"
慌,N1,kou コウ,"awa(teru)
awa(tadashii) あわ(てる)
あわ(ただしい)","disconcerted, be confused, lose one's head"
娯,N1,go ゴ,,"recreation, pleasure"
吾,N1,go ゴ,"ware
waga-
a- われ
わが-
あ-","I, my, our, one's own"
椿,N1,"chin
chun チン
チュン",tsubaki つばき,camellia
舌,N1,zetsu ゼツ,shita した,"tongue, reed, clapper"
羅,N1,ra ラ,usumono うすもの,"gauze, thin silk, Rome, arrange, spread out"
峡,N1,"kyou
kou キョウ
コウ",hazama はざま,"gorge, ravine"
俸,N1,hou ホウ,,"stipend, salary"
厘,N1,rin リン,,"rin, 1/10 sen, 1/10 bu"
峰,N1,hou ホウ,"mine
ne みね
ね","summit, peak"
圭,N1,"kei
ke ケイ
ケ",,"square jewel, corner, angle, edge"
醸,N1,jou ジョウ,kamo(su) かも(す),"brew, cause"
蓮,N1,ren レン,"hasu
hachisu はす
はちす",lotus
弔,N1,chou チョウ,"tomura(u)
tobura(u) とむら(う)
とぶら(う)","condolences, mourning, funeral"
乙,N1,"otsu
itsu オツ
イツ","oto-
kinoto おと-
きのと","the latter, duplicate, strange, witty, fishhook radical (no. 5)"
倶,N1,"gu
ku グ
ク",tomo(ni) とも(に),"both, together, alike"
汁,N1,juu ジュウ,"shiru
-shiru
tsuyu しる
-しる
つゆ","soup, juice, broth, sap, gravy, pus"
尼,N1,ni ニ,ama あま,nun
遍,N1,hen ヘン,amane(ku) あまね(く),"everywhere, times, widely, generally"
堺,N1,kai カイ,sakai さかい,world
衡,N1,kou コウ,,"equilibrium, measuring rod, scale"
呆,N1,hou ホウ,"bo(keru)
aki(reru)
oroka ぼ(ける)
あき(れる)
おろか","be amazed, disgusted, shocked"
薫,N1,kun クン,kao(ru) かお(る),"send forth fragrance, fragrant, be scented, smoke (tobacco)"
瓦,N1,ga ガ,"kawara
guramu かわら
ぐらむ","tile, gram"
猟,N1,ryou リョウ,"kari
ka(ru) かり
か(る)","game-hunting, shooting, game, bag"
羊,N1,you ヨウ,hitsuji ひつじ,sheep
窪,N1,"wa
a ワ
ア",kubo(mu) くぼ(む),"depression, cave in, sink, become hollow"
