kanji,jlpt,onyomi,kunyomi,meanings
就,N1,"shuu
ju シュウ
ジュ",tsu(ku) つ(く),"concerning, settle, take position, depart, study, per"
異,N1,i イ,"koto
koto(naru)
ke こと
こと(なる)
け","uncommon, different, queerness, strangeness, wonderful, curious, unusual"
献,N1,"ken
kon ケン
コン",tatematsu(ru) たてまつ(る),"offering, counter for drinks, present, offer"
厳,N1,"gen
gon ゲン
ゴン","ogoso(ka)
kibi(shii)
ika(meshii)
itsukushi おごそ(か)
きび(しい)
いか(めしい)
いつくし","stern, strictness, severity, rigidity"
維,N1,i イ,,"fiber, tie, rope"
浜,N1,hin ヒン,hama はま,"seacoast, beach, seashore"
遺,N1,"i
yui イ
ユイ",noko(su) のこ(す),"bequeath, leave behind, reserve"
塁,N1,"rui
rai
sui ルイ
ライ
スイ",toride とりで,"bases, fort, rampart, walls, base(ball)"
邦,N1,hou ホウ,kuni くに,"home country, country, Japan"
素,N1,"so
su ソ
ス",moto もと,"elementary, principle, naked, uncovered"
遣,N1,ken ケン,"tsuka(u)
-tsuka(i)
-dzuka(i)
ya(ru) つか(う)
-つか(い)
-づか(い)
や(る)","dispatch, despatch, send, give, donate, do, undertake"
抗,N1,kou コウ,araga(u) あらが(う),"confront, resist, defy, oppose"
模,N1,"mo
bo モ
ボ",,"imitation, copy, mock"
雄,N1,yuu ユウ,"o-
osu
on お-
おす
おん","masculine, male, hero, leader, superiority, excellence"
益,N1,"eki
yaku エキ
ヤク",ma(su) ま(す),"benefit, gain, profit, advantage"
緊,N1,kin キン,shi(meru) し(める),"tense, solid, hard, reliable, tight"
標,N1,hyou ヒョウ,"shirube
shirushi しるべ
しるし","signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir"
宣,N1,sen セン,notama(u) のたま(う),"proclaim, say, announce"
昭,N1,shou ショウ,,"shining, bright"
廃,N1,hai ハイ,suta(reru) すた(れる),"abolish, obsolete, cessation, discarding, abandon"
伊,N1,i イ,kare かれ,"Italy, that one"
江,N1,kou コウ,e え,"creek, inlet, bay"
僚,N1,ryou リョウ,,"colleague, official, companion"
吉,N1,"kichi
kitsu キチ
キツ",yoshi よし,"good luck, joy, congratulations"
盛,N1,"sei
jou セイ
ジョウ","mo(ru)
saka(ru) も(る)
さか(る)","boom, prosper, copulate"
皇,N1,"kou
ou コウ
オウ",,emperor
臨,N1,rin リン,nozo(mu) のぞ(む),"look to, face, meet, confront, attend, call on"
踏,N1,tou トウ,fu(mu) ふ(む),"step, trample, carry through, appraise, evade payment"
壊,N1,"kai
e カイ
エ","kowa(su)
yabu(ru) こわ(す)
やぶ(る)","demolition, break, destroy"
債,N1,sai サイ,,"bond, loan, debt"
興,N1,"kou
kyou コウ
キョウ",oko(su) おこ(る),"entertain, revive, retrieve, interest, pleasure"
源,N1,gen ゲン,minamoto みなもと,"source, origin"
儀,N1,gi ギ,,"ceremony, rule, affair, case, a matter"
創,N1,"sou
shou ソウ
ショウ","tsuku(ru)
haji(meru)
kizu
kezu(shikeru) つく(る)
はじ(める)
きず
けず(しける)","genesis, wound, injury, hurt, start, originate"
障,N1,shou ショウ,sawa(ru) さわ(る),"hinder, hurt, harm"
継,N1,kei ケイ,"tsu(gu)
mama- つ(ぐ)
まま-","inherit, succeed, continue, patch, graft (tree)"
筋,N1,kin キン,suji すじ,"muscle, sinew, tendon, fiber, plot, plan, descent"
狙,N1,"so
sho ソ
ショ",nera(u) ねら(う),"aim at, sight, shadow, stalk"
闘,N1,tou トウ,"tataka(u)
araso(u) たたか(う)
あらそ(う)","fight, war"
葬,N1,sou ソウ,houmu(ru) ほうむ(る),"interment, bury, shelve"
避,N1,hi ヒ,"sa(keru)
yo(keru) さ(ける)
よ(ける)","evade, avoid, avert, ward off, shirk, shun"
司,N1,shi シ,tsukasado(ru) つかさど(る),"director, official, govt office, rule, administer"
康,N1,kou コウ,,"ease, peace"
