kanji,jlpt,onyomi,kunyomi
乾,N2,カン;ケン,かわ.く;かわ.かす;ほ.す;ひ.る;いぬい
祈,N2,キ,いの.る
汗,N2,カン,あせ
湿,N2,シツ;シュウ,しめ.る;しめ.す;うるお.う;うるお.す
咲,N2,ショウ,さ.く;-ざき
召,N2,ショウ,め.す
脂,N2,シ,あぶら
肌,N2,キ,はだ
鈍,N2,ドン,にぶ.い;にぶ.る;にぶ-;なま.る;なまく.ら
泥,N2,デイ;ナイ;デ;ニ,どろ;なず.む
隅,N2,グウ,すみ
辛,N2,シン,から.い;つら.い;-づら.い;かのと
磨,N2,マ,みが.く;す.る
姓,N2,セイ;ショウ,
筒,N2,トウ,つつ
粒,N2,リュウ,つぶ
畳,N2,ジョウ;チョウ,たた.む;たたみ;かさ.なる
膚,N2,フ,はだ
濯,N2,タク,すす.ぐ;ゆす.ぐ
塔,N2,トウ,
沸,N2,フツ,わ.く;わ.かす
菓,N2,カ,
帽,N2,ボウ;モウ,ずきん;おお.う
枯,N2,コ,か.れる;か.らす
涼,N2,リョウ,すず.しい;すず.む;すず.やか;うす.い;ひや.す;まことに
舟,N2,シュウ,ふね;ふな-;-ぶね
符,N2,フ,
憎,N2,ゾウ,にく.む;にく.い;にく.らしい;にく.しみ
肯,N2,コウ,がえんじ.る
燥,N2,ソウ,はしゃ.ぐ
畜,N2,チク,
挟,N2,キョウ;ショウ,はさ.む;はさ.まる;わきばさ.む;さしはさ.む
曇,N2,ドン,くも.る
滴,N2,テキ,しずく;したた.る
伺,N2,シ,うかが.う
政,N3,セイ;ショウ,まつりごと;まん
内,N3,ナイ;ダイ,うち
議,N3,ギ,
対,N3,タイ;ツイ,あいて;こた.える;そろ.い;つれあ.い;なら.ぶ;むか.う
部,N3,ブ,-べ
連,N3,レン,つら.なる;つら.ねる;つ.れる;-づ.れ
米,N3,ベイ;マイ;メエトル,こめ;よね
合,N3,ゴウ;ガッ;カッ,あ.う;-あ.う;あ.い;あい-;-あ.い;-あい;あ.わす;あ.わせる;-あ.わせる
市,N3,シ,いち
相,N3,ソウ;ショウ,あい-
定,N3,テイ;ジョウ,さだ.める;さだ.まる;さだ.か
回,N3,カイ;エ,まわ.る;-まわ.る;-まわ.り;まわ.す;-まわ.す;まわ.し-;-まわ.し;もとお.る;か.える
民,N3,ミン,たみ
当,N3,トウ,あ.たる;あ.たり;あ.てる;あ.て;まさ.に;まさ.にべし
実,N3,ジツ;シツ,み;みの.る;まこと;みの;みち.る
決,N3,ケツ,き.める;-ぎ.め;き.まる;さ.く
全,N3,ゼン,まった.く;すべ.て
選,N3,セン,えら.ぶ;え.る;よ.る
表,N3,ヒョウ,おもて;-おもて;あらわ.す;あらわ.れる;あら.わす
調,N3,チョウ,しら.べる;しら.べ;ととの.う;ととの.える
化,N3,カ;ケ,ば.ける;ば.かす;ふ.ける;け.する
関,N3,カン,せき;-ぜき;かか.わる;からくり;かんぬき
首,N3,シュ,くび
数,N3,スウ;ス;サク;ソク;シュ,かず;かぞ.える;しばしば;せ.める;わずらわ.しい
記,N3,キ,しる.す
戦,N3,セン,いくさ;たたか.う;おのの.く;そよ.ぐ;わなな.く
最,N3,サイ;シュ,もっと.も;つま
点,N3,テン,つ.ける;つ.く;た.てる;さ.す;とぼ.す;とも.す;ぼち
活,N3,カツ,い.きる;い.かす;い.ける
石,N3,セキ;シャク;コク,いし
原,N3,ゲン,はら
期,N3,キ;ゴ,
交,N3,コウ,まじ.わる;まじ.える;ま.じる;まじ.る;ま.ざる;ま.ぜる;-か.う;か.わす;かわ.す;こもごも
取,N3,シュ,と.る;と.り;と.り-;とり;-ど.り
和,N3,ワ;オ;カ,やわ.らぐ;やわ.らげる;なご.む;なご.やか;あ.える
約,N3,ヤク,つづ.まる;つづ.める;つづま.やか
平,N3,ヘイ;ビョウ;ヒョウ,たい.ら;たい.らげる;ひら
経,N3,ケイ;キョウ;キン,へ.る;た.つ;たていと;はか.る;のり
法,N3,ホウ;ハッ;ホッ;フラン,のり
組,N3,ソ,く.む;くみ;-ぐみ
受,N3,ジュ,う.ける;-う.け;う.かる
要,N3,ヨウ,い.る;かなめ
現,N3,ゲン,あらわ.れる;あらわ.す;うつつ;うつ.つ
治,N3,ジ;チ,おさ.める;おさ.まる;なお.る;なお.す
成,N3,セイ;ジョウ,な.る;な.す;-な.す
指,N3,シ,ゆび;さ.す;-さ.し
直,N3,チョク;ジキ;ジカ,ただ.ちに;なお.す;-なお.す;なお.る;なお.き;す.ぐ
機,N3,キ,はた
加,N3,カ,くわ.える;くわ.わる
性,N3,セイ;ショウ,さが
制,N3,セイ,
予,N3,ヨ;シャ,あらかじ.め
向,N3,コウ,む.く;む.い;-む.き;む.ける;-む.け;む.かう;む.かい;む.こう;む.こう-;むこ;むか.い
都,N3,ト;ツ,みやこ
勝,N3,ショウ,か.つ;-が.ち;まさ.る;すぐ.れる;かつ
務,N3,ム,つと.める
面,N3,メン;ベン,おも;おもて;つら
続,N3,ゾク;ショク;コウ;キョウ,つづ.く;つづ.ける;つぐ.ない
反,N3,ハン;ホン;タン;ホ,そ.る;そ.らす;かえ.す;かえ.る;-かえ.る
初,N3,ショ,はじ.め;はじ.めて;はつ;はつ-;うい-;-そ.める;-ぞ.め
進,N3,シン,すす.む;すす.める
引,N3,イン,ひ.く;ひ.ける
次,N3,ジ;シ,つ.ぐ;つぎ
王,N3,オウ;-ノウ,
共,N3,キョウ,とも;とも.に;-ども
係,N3,ケイ,かか.る;かかり;-がかり;かか.わる
番,N3,バン,つが.い
感,N3,カン,
投,N3,トウ,な.げる;-な.げ
打,N3,ダ;ダース,う.つ;う.ち-;ぶ.つ
両,N3,リョウ,てる;ふたつ
式,N3,シキ,
支,N3,シ,ささ.える;つか.える;か.う
参,N3,サン;シン,まい.る;まい-;まじわる;みつ
利,N3,リ,き.く
談,N3,ダン,
信,N3,シン,
報,N3,ホウ,むく.いる
形,N3,ケイ;ギョウ,かた;-がた;かたち;なり
流,N3,リュウ;ル,なが.れる;なが.れ;なが.す;-なが.す
局,N3,キョク,つぼね
側,N3,ソク,かわ;がわ;そば
放,N3,ホウ,はな.す;-っぱな.し;はな.つ;はな.れる;こ.く;ほう.る
得,N3,トク,え.る;う.る
求,N3,キュウ;グ,もと.める
解,N3,カイ;ゲ,と.く;と.かす;と.ける;ほど.く;ほぐ.す;わか.る;さと.る
資,N3,シ,
昨,N3,サク,
球,N3,キュウ,たま
際,N3,サイ,きわ;-ぎわ
官,N3,カン,
権,N3,ケン;ゴン,おもり;かり;はか.る
告,N3,コク,つ.げる
役,N3,ヤク;エキ,
変,N3,ヘン,か.わる;か.わり;か.える
産,N3,サン,う.む;う.まれる;うぶ-;む.す
草,N3,ソウ,くさ;くさ-;-ぐさ
由,N3,ユ;ユウ;ユイ,よし;よ.る
判,N3,ハン;バン,わか.る
所,N3,ショ,ところ;-ところ;どころ;とこ
済,N3,サイ;セイ,す.む;-ず.み;-ずみ;す.まない;す.ます;-す.ます;すく.う;な.す;わたし;わた.る
果,N3,カ,は.たす;はた.す;-は.たす;は.てる;-は.てる;は.て
消,N3,ショウ,き.える;け.す
神,N3,シン;ジン,かみ;かん-;こう-
在,N3,ザイ,あ.る
必,N3,ヒツ,かなら.ず
件,N3,ケン,くだん
科,N3,カ,
配,N3,ハイ,くば.る
争,N3,ソウ,あらそ.う;いか.でか
任,N3,ニン,まか.せる;まか.す
位,N3,イ,くらい;ぐらい
育,N3,イク,そだ.つ;そだ.ち;そだ.てる;はぐく.む
置,N3,チ,お.く;-お.き
想,N3,ソウ;ソ,おも.う
増,N3,ゾウ,ま.す;ま.し;ふ.える;ふ.やす
声,N3,セイ;ショウ,こえ;こわ-
情,N3,ジョウ;セイ,なさ.け
示,N3,ジ;シ,しめ.す
認,N3,ニン,みと.める;したた.める
助,N3,ジョ,たす.ける;たす.かる;す.ける;すけ
追,N3,ツイ,お.う
商,N3,ショウ,あきな.う
葉,N3,ヨウ,は
園,N3,エン,その
落,N3,ラク,お.ちる;お.ち;お.とす
確,N3,カク;コウ,たし.か;たし.かめる
馬,N3,バ,うま;うま-;ま
付,N3,フ,つ.ける;-つ.ける;-づ.ける;つ.け;つ.け-;-つ.け;-づ.け;-づけ;つ.く;-づ.く;つ.き;-つ.き;-つき;-づ.き;-づき
頭,N3,トウ;ズ;ト,あたま;かしら;-がしら;かぶり
容,N3,ヨウ,い.れる
負,N3,フ,ま.ける;ま.かす;お.う
演,N3,エン,
夫,N3,フ;フウ;ブ,おっと;それ
論,N3,ロン,あげつら.う
能,N3,ノウ,よ.く;あた.う
守,N3,シュ;ス,まも.る;まも.り;もり;-もり;かみ
美,N3,ビ;ミ,うつく.しい
命,N3,メイ;ミョウ,いのち
福,N3,フク,
格,N3,カク;コウ;キャク;ゴウ,
過,N3,カ,す.ぎる;す.ごす;あやま.ち;あやま.つ;よぎ.る;よ.ぎる
船,N3,セン,ふね;ふな-
害,N3,ガイ,
横,N3,オウ,よこ
深,N3,シン,ふか.い;-ぶか.い;ふか.まる;ふか.める;み-
常,N3,ジョウ,つね;とこ-
申,N3,シン,もう.す;もう.し-;さる
様,N3,ヨウ;ショウ,さま;さん
席,N3,セキ,むしろ
港,N3,コウ,みなと
状,N3,ジョウ,
残,N3,ザン;サン,のこ.る;のこ.す;そこな.う;のこ.り
職,N3,ショク;ソク,
念,N3,ネン,
構,N3,コウ,かま.える;かま.う
光,N3,コウ,ひか.る;ひかり
路,N3,ロ;ル,-じ;みち
労,N3,ロウ,ろう.する;いたわ.る;いた.ずき;ねぎら;つか.れる;ねぎら.う
例,N3,レイ,たと.える
然,N3,ゼン;ネン,しか;しか.り;しか.し;さ
費,N3,ヒ,つい.やす;つい.える
他,N3,タ,ほか
太,N3,タイ;タ,ふと.い;ふと.る
伝,N3,デン;テン,つた.わる;つた.える;つた.う;つだ.う;-づた.い;つて
客,N3,キャク;カク,
景,N3,ケイ,
断,N3,ダン,た.つ;ことわ.る;さだ.める
乗,N3,ジョウ;ショウ,の.る;-の.り;の.せる
登,N3,トウ;ト;ドウ;ショウ;チョウ,のぼ.る;あ.がる
疑,N3,ギ,うたが.う
速,N3,ソク,はや.い;はや-;はや.める;すみ.やか
規,N3,キ,
術,N3,ジュツ,すべ
号,N3,ゴウ,さけ.ぶ;よびな
備,N3,ビ,そな.える;そな.わる;つぶさ.に
失,N3,シツ,うしな.う;う.せる
絵,N3,カイ;エ,
差,N3,サ,さ.す;さ.し
末,N3,マツ;バツ,すえ;うら;うれ
種,N3,シュ,たね;-ぐさ
苦,N3,ク,くる.しい;-ぐる.しい;くる.しむ;くる.しめる;にが.い;にが.る
供,N3,キョウ;ク;クウ;グ,そな.える;とも;-ども
望,N3,ボウ;モウ,のぞ.む;もち
具,N3,グ,そな.える;つぶさ.に
観,N3,カン,み.る;しめ.す
察,N3,サツ,
割,N3,カツ,わ.る;わり;わ.り;わ.れる;さ.く
説,N3,セツ;ゼイ,と.く
難,N3,ナン,かた.い;-がた.い;むずか.しい;むづか.しい;むつか.しい;-にく.い
達,N3,タツ;ダ,-たち
優,N3,ユウ;ウ,やさ.しい;すぐ.れる;まさ.る
良,N3,リョウ,よ.い;-よ.い;い.い;-い.い
収,N3,シュウ,おさ.める;おさ.まる
限,N3,ゲン,かぎ.る;かぎ.り;-かぎ.り
顔,N3,ガン,かお
候,N3,コウ,そうろう
晴,N3,セイ,は.れる;は.れ;は.れ-;-ば.れ;は.らす
返,N3,ヘン,かえ.す;-かえ.す;かえ.る;-かえ.る
満,N3,マン;バン,み.ちる;み.つ;み.たす
敗,N3,ハイ,やぶ.れる
宿,N3,シュク,やど;やど.る;やど.す
宅,N3,タク,
歳,N3,サイ;セイ,とし;とせ;よわい
積,N3,セキ,つ.む;-づ.み;つ.もる;つ.もり
警,N3,ケイ,いまし.める
訪,N3,ホウ,おとず.れる;たず.ねる;と.う
雪,N3,セツ,ゆき
飛,N3,ヒ,と.ぶ;と.ばす;-と.ばす
単,N3,タン,ひとえ
幸,N3,コウ,さいわ.い;さち;しあわ.せ
非,N3,ヒ,あら.ず
完,N3,カン,
等,N3,トウ,ひと.しい;など;-ら
曲,N3,キョク,ま.がる;ま.げる;くま
庭,N3,テイ,にわ
給,N3,キュウ,たま.う;たも.う;-たま.え
与,N3,ヨ,あた.える;あずか.る;くみ.する;ともに
財,N3,ザイ;サイ;ゾク,たから
識,N3,シキ,し.る;しる.す
働,N3,ドウ,はたら.く
辞,N3,ジ,や.める;いな.む
好,N3,コウ,この.む;す.く;よ.い;い.い
退,N3,タイ,しりぞ.く;しりぞ.ける;ひ.く;の.く;の.ける;ど.く
鳴,N3,メイ,な.く;な.る;な.らす
愛,N3,アイ,いと.しい;かな.しい;め.でる;お.しむ;まな
程,N3,テイ,ほど;-ほど
富,N3,フ;フウ,と.む;とみ
未,N3,ミ;ビ,いま.だ;ま.だ;ひつじ
息,N3,ソク,いき
耳,N3,ジ,みみ
遠,N3,エン;オン,とお.い
冷,N3,レイ,つめ.たい;ひ.える;ひ.や;ひ.ややか;ひ.やす;ひ.やかす;さ.める;さ.ます
類,N3,ルイ,たぐ.い
若,N3,ジャク;ニャク;ニャ,わか.い;わか-;も.しくわ;も.し;も.しくは;ごと.し
違,N3,イ,ちが.う;ちが.い;ちが.える;-ちが.える;たが.う;たが.える
列,N3,レツ;レ,
熱,N3,ネツ,あつ.い
師,N3,シ,いくさ
遊,N3,ユウ;ユ,あそ.ぶ;あそ.ばす
覚,N3,カク,おぼ.える;さ.ます;さ.める;さと.る
君,N3,クン,きみ;-ぎみ
易,N3,エキ;イ,やさ.しい;やす.い
段,N3,ダン;タン,
殺,N3,サツ;サイ;セツ,ころ.す;-ごろ.し;そ.ぐ;あや.める
破,N3,ハ,やぶ.る;やぶ.れる;わ.れる
呼,N3,コ,よ.ぶ
責,N3,セキ,せ.める
才,N3,サイ,
努,N3,ド,つと.める
酒,N3,シュ,さけ;さか-
散,N3,サン,ち.る;ち.らす;-ち.らす;ち.らかす;ち.らかる;ち.らばる;ばら;ばら.ける
悲,N3,ヒ,かな.しい;かな.しむ
静,N3,セイ;ジョウ,しず-;しず.か;しず.まる;しず.める
値,N3,チ,ね;あたい
薬,N3,ヤク,くすり
因,N3,イン,よ.る;ちな.む
老,N3,ロウ,お.いる;ふ.ける
陽,N3,ヨウ,ひ
徒,N3,ト,いたずら;あだ
処,N3,ショ,ところ;-こ;お.る
歯,N3,シ,よわい;は;よわ.い;よわい.する
適,N3,テキ,かな.う
婦,N3,フ,よめ
寄,N3,キ,よ.る;-よ.り;よ.せる
否,N3,ヒ,いな;いや
余,N3,ヨ,あま.る;あま.り;あま.す;あんま.り
欠,N3,ケツ;ケン,か.ける;か.く
妻,N3,サイ,つま
存,N3,ソン;ゾン,ながら.える;あ.る;たも.つ;と.う
座,N3,ザ,すわ.る
険,N3,ケン,けわ.しい
礼,N3,レイ;ライ,
除,N3,ジョ;ジ,のぞ.く;-よ.け
渡,N3,ト,わた.る;-わた.る;わた.す
降,N3,コウ;ゴ,お.りる;お.ろす;ふ.る;ふ.り;くだ.る;くだ.す
願,N3,ガン,ねが.う;-ねがい
昔,N3,セキ;シャク,むかし
許,N3,キョ,ゆる.す;もと
危,N3,キ,あぶ.ない;あや.うい;あや.ぶむ
笑,N3,ショウ,わら.う;え.む
留,N3,リュウ;ル,と.める;と.まる;とど.める;とど.まる;るうぶる
罪,N3,ザイ,つみ
泳,N3,エイ,およ.ぐ
束,N3,ソク,たば;たば.ねる;つか;つか.ねる
精,N3,セイ;ショウ,しら.げる;くわ.しい
喜,N3,キ,よろこ.ぶ;よろこ.ばす
折,N3,セツ;シャク,お.る;おり;お.り;-お.り;お.れる
絶,N3,ゼツ,た.える;た.やす;た.つ
亡,N3,ボウ;モウ,な.い;な.き-;ほろ.びる;ほろ.ぶ;ほろ.ぼす
箱,N3,ソウ,はこ
掛,N3,カイ;ケイ,か.ける;-か.ける;か.け;-か.け;-が.け;か.かる;-か.かる;-が.かる;か.かり;-が.かり;かかり;-がかり
突,N3,トツ;カ,つ.く
背,N3,ハイ,せ;せい;そむ.く;そむ.ける
居,N3,キョ;コ,い.る;-い;お.る
雑,N3,ザツ;ゾウ,まじ.える;まじ.る
招,N3,ショウ,まね.く
賛,N3,サン,たす.ける;たた.える
犯,N3,ハン;ボン,おか.す
便,N3,ベン;ビン,たよ.り
似,N3,ジ,に.る;ひ.る
暗,N3,アン,くら.い;くら.む;くれ.る
迷,N3,メイ,まよ.う
夢,N3,ム;ボウ,ゆめ;ゆめ.みる;くら.い
捕,N3,ホ,と.らえる;と.らわれる;と.る;とら.える;とら.われる;つか.まえる;つか.まる
勤,N3,キン;ゴン,つと.める;-づと.め;つと.まる;いそ.しむ
迎,N3,ゲイ,むか.える
困,N3,コン,こま.る
彼,N3,ヒ,かれ;かの;か.の
刻,N3,コク,きざ.む;きざ.み
舞,N3,ブ,ま.う;-ま.う;まい
込,N3,,-こ.む;こ.む;こ.み;-こ.み;こ.める
欲,N3,ヨク,ほっ.する;ほ.しい
痛,N3,ツウ,いた.い;いた.む;いた.ましい;いた.める
探,N3,タン,さぐ.る;さが.す
頼,N3,ライ,たの.む;たの.もしい;たよ.る
閉,N3,ヘイ,と.じる;と.ざす;し.める;し.まる;た.てる
途,N3,ト,みち
抜,N3,バツ;ハツ;ハイ,ぬ.く;-ぬ.く;ぬ.き;ぬ.ける;ぬ.かす;ぬ.かる
暮,N3,ボ,く.れる;く.らす
慣,N3,カン,な.れる;な.らす
貧,N3,ヒン;ビン,まず.しい
祖,N3,ソ,
婚,N3,コン,
浮,N3,フ,う.く;う.かれる;う.かぶ;う.かべる
押,N3,オウ,お.す;お.し-;お.っ-;お.さえる;おさ.える
吸,N3,キュウ,す.う
倒,N3,トウ,たお.れる;-だお.れ;たお.す;さかさま;さかさ;さかしま
払,N3,フツ;ヒツ;ホツ,はら.う;-はら.い;-ばら.い
寒,N3,カン,さむ.い
遅,N3,チ,おく.れる;おく.らす;おそ.い
忘,N3,ボウ,わす.れる
更,N3,コウ,さら;さら.に;ふ.ける;ふ.かす
誤,N3,ゴ,あやま.る;-あやま.る
幾,N3,キ,いく-;いく.つ;いく.ら
抱,N3,ホウ,だ.く;いだ.く;かか.える
恐,N3,キョウ,おそ.れる;おそ.る;おそ.ろしい;こわ.い;こわ.がる
窓,N3,ソウ;ス,まど;てんまど;けむだし
戻,N3,レイ,もど.す;もど.る
越,N3,エツ;オツ,こ.す;-こ.す;-ご.し;こ.える;-ご.え
互,N3,ゴ,たが.い;かたみ.に
逃,N3,トウ,に.げる;に.がす;のが.す;のが.れる
緒,N3,ショ;チョ,お;いとぐち
腹,N3,フク,はら
頂,N3,チョウ,いただ.く;いただき
到,N3,トウ,いた.る
寝,N3,シン,ね.る;ね.かす;い.ぬ;みたまや;や.める
盗,N3,トウ,ぬす.む;ぬす.み
晩,N3,バン,
御,N3,ギョ;ゴ,おん-;お-;み-
吹,N3,スイ,ふ.く
娘,N3,ジョウ,むすめ;こ
怒,N3,ド;ヌ,いか.る;おこ.る
杯,N3,ハイ,さかずき
疲,N3,ヒ,つか.れる;-づか.れ;つか.らす
皆,N3,カイ,みな;みんな
煙,N3,エン,けむ.る;けむり;けむ.い
洗,N3,セン,あら.う
眠,N3,ミン,ねむ.る;ねむ.い
怖,N3,フ;ホ,こわ.い;こわ.がる;お.じる;おそ.れる
髪,N3,ハツ,かみ
忙,N3,ボウ;モウ,いそが.しい;せわ.しい;おそ.れる;うれえるさま
靴,N3,カ,くつ
恥,N3,チ,は.じる;はじ;は.じらう;は.ずかしい
偶,N3,グウ,たま
偉,N3,イ,えら.い
猫,N3,ビョウ,ねこ
会,N4,カイ;エ,あ.う;あ.わせる;あつ.まる
同,N4,ドウ,おな.じ
自,N4,ジ;シ,みずか.ら;おの.ずから;おの.ずと
事,N4,ジ;ズ,こと;つか.う;つか.える
社,N4,シャ,やしろ
力,N4,リョク;リキ;リイ,ちから
立,N4,リツ;リュウ;リットル,た.つ;-た.つ;た.ち-;た.てる;-た.てる;た.て-;たて-;-た.て;-だ.て;-だ.てる
手,N4,シュ;ズ,て;て-;-て;た-
地,N4,チ;ジ,
田,N4,デン,た
方,N4,ホウ,かた;-かた;-がた
発,N4,ハツ;ホツ,た.つ;あば.く;おこ.る;つか.わす;はな.つ
目,N4,モク;ボク,め;-め;ま-
場,N4,ジョウ;チョウ,ば
者,N4,シャ,もの
業,N4,ギョウ;ゴウ,わざ
明,N4,メイ;ミョウ;ミン,あ.かり;あか.るい;あか.るむ;あか.らむ;あき.らか;あ.ける;-あ.け;あ.く;あ.くる;あ.かす
新,N4,シン,あたら.しい;あら.た;あら-;にい-
正,N4,セイ;ショウ,ただ.しい;ただ.す;まさ;まさ.に
京,N4,キョウ;ケイ;キン,みやこ
公,N4,コウ;ク,おおやけ
通,N4,ツウ;ツ,とお.る;とお.り;-とお.り;-どお.り;とお.す;とお.し;-どお.し;かよ.う
員,N4,イン,
理,N4,リ,ことわり
体,N4,タイ;テイ,からだ;かたち
開,N4,カイ,ひら.く;ひら.き;-びら.き;ひら.ける;あ.く;あ.ける
文,N4,ブン;モン,ふみ;あや
問,N4,モン,と.う;と.い;とん
代,N4,ダイ;タイ,か.わる;かわ.る;かわ.り;か.わり;-がわ.り;-が.わり;か.える;よ;しろ
作,N4,サク;サ,つく.る;つく.り;-づく.り
用,N4,ヨウ,もち.いる
動,N4,ドウ,うご.く;うご.かす
言,N4,ゲン;ゴン,い.う;こと
強,N4,キョウ;ゴウ,つよ.い;つよ.まる;つよ.める;し.いる;こわ.い
野,N4,ヤ;ショ,の;の-
思,N4,シ,おも.う;おもえら.く;おぼ.す
家,N4,カ;ケ,いえ;や;うち
主,N4,シュ;ス;シュウ,ぬし;おも;あるじ
題,N4,ダイ,
町,N4,チョウ,まち
意,N4,イ,
心,N4,シン,こころ;-ごころ
度,N4,ド;ト;タク,たび;-た.い
教,N4,キョウ,おし.える;おそ.わる
持,N4,ジ,も.つ;-も.ち;も.てる
多,N4,タ,おお.い;まさ.に;まさ.る
口,N4,コウ;ク,くち
元,N4,ゲン;ガン,もと
近,N4,キン;コン,ちか.い
考,N4,コウ,かんが.える;かんが.え
画,N4,ガ;カク;エ;カイ,えが.く;かく.する;かぎ.る;はかりごと;はか.る
海,N4,カイ,うみ
早,N4,ソウ;サッ,はや.い;はや;はや-;はや.まる;はや.める;さ-
売,N4,バイ,う.る;う.れる
不,N4,フ;ブ,
世,N4,セイ;セ;ソウ,よ
空,N4,クウ,そら;あ.く;あ.き;あ.ける;から;す.く;す.かす;むな.しい
知,N4,チ,し.る;し.らせる
院,N4,イン,
計,N4,ケイ,はか.る;はか.らう
足,N4,ソク,あし;た.りる;た.る;た.す
界,N4,カイ,
字,N4,ジ,あざ;あざな;-な
音,N4,オン;イン;-ノン,おと;ね
朝,N4,チョウ,あさ
以,N4,イ,もっ.て
台,N4,ダイ;タイ,うてな;われ;つかさ
広,N4,コウ,ひろ.い;ひろ.まる;ひろ.める;ひろ.がる;ひろ.げる
道,N4,ドウ;トウ,みち;いう
安,N4,アン,やす.い;やす.まる;やす;やす.らか
重,N4,ジュウ;チョウ,え;おも.い;おも.り;おも.なう;かさ.ねる;かさ.なる;おも
赤,N4,セキ;シャク,あか;あか-;あか.い;あか.らむ;あか.らめる
青,N4,セイ;ショウ,あお;あお-;あお.い
工,N4,コウ;ク;グ,
止,N4,シ,と.まる;-ど.まり;と.める;-と.める;-ど.め;とど.める;とど.め;とど.まる;や.める;や.む;-や.む;よ.す;-さ.す;-さ.し
集,N4,シュウ,あつ.まる;あつ.める;つど.う
物,N4,ブツ;モツ,もの;もの-
切,N4,セツ;サイ,き.る;-き.る;き.り;-き.り;-ぎ.り;き.れる;-き.れる;き.れ;-き.れ;-ぎ.れ
使,N4,シ,つか.う;つか.い;-つか.い;-づか.い
品,N4,ヒン;ホン,しな
死,N4,シ,し.ぬ;し.に-
始,N4,シ,はじ.める;-はじ.める;はじ.まる
楽,N4,ガク;ラク;ゴウ,たの.しい;たの.しむ;この.む
運,N4,ウン,はこ.ぶ
少,N4,ショウ,すく.ない;すこ.し
終,N4,シュウ,お.わる;-お.わる;おわ.る;お.える;つい;つい.に
花,N4,カ;ケ,はな
住,N4,ジュウ;ヂュウ;チュウ,す.む;す.まう;-ず.まい
親,N4,シン,おや;おや-;した.しい;した.しむ
真,N4,シン,ま;ま-;まこと
有,N4,ユウ;ウ,あ.る
別,N4,ベツ,わか.れる;わ.ける
夕,N4,セキ,ゆう
急,N4,キュウ,いそ.ぐ;いそ.ぎ;せ.く
送,N4,ソウ,おく.る
特,N4,トク,
答,N4,トウ,こた.える;こた.え
夜,N4,ヤ,よ;よる
転,N4,テン,ころ.がる;ころ.げる;ころ.がす;ころ.ぶ;まろ.ぶ;うたた;うつ.る;くる.めく
店,N4,テン,みせ;たな
帰,N4,キ,かえ.る;かえ.す;おく.る;とつ.ぐ
研,N4,ケン,と.ぐ
歌,N4,カ,うた;うた.う
図,N4,ズ;ト,え;はか.る
室,N4,シツ,むろ
究,N4,キュウ;ク,きわ.める
歩,N4,ホ;ブ;フ,ある.く;あゆ.む
風,N4,フウ;フ,かぜ;かざ-
紙,N4,シ,かみ
起,N4,キ,お.きる;お.こる;お.こす;おこ.す;た.つ
着,N4,チャク;ジャク,き.る;き.せる;つ.く;つ.ける
黒,N4,コク,くろ;くろ.ずむ;くろ.い
病,N4,ビョウ;ヘイ,や.む;-や.み;やまい
春,N4,シュン,はる
待,N4,タイ,ま.つ;-ま.ち
族,N4,ゾク,
料,N4,リョウ,
銀,N4,ギン,しろがね
建,N4,ケン;コン,た.てる;た.て;-だ.て;た.つ
色,N4,ショク;シキ,いろ
走,N4,ソウ,はし.る
秋,N4,シュウ,あき;とき
医,N4,イ,い.やす;い.する;くすし
仕,N4,シ;ジ,つか.える
夏,N4,カ;ガ;ゲ,なつ
去,N4,キョ;コ,さ.る;-さ.る
味,N4,ミ,あじ;あじ.わう
犬,N4,ケン,いぬ;いぬ-
古,N4,コ,ふる.い;ふる-;-ふる.す
写,N4,シャ;ジャ,うつ.す;うつ.る;うつ-;うつ.し
買,N4,バイ,か.う
週,N4,シュウ,
私,N4,シ,わたくし;わたし
注,N4,チュウ,そそ.ぐ;さ.す;つ.ぐ
試,N4,シ,こころ.みる;ため.す
悪,N4,アク;オ,わる.い;わる-;あ.し;にく.い;-にく.い;ああ;いずくに;いずくんぞ;にく.む
験,N4,ケン;ゲン,あかし;しるし;ため.す;ためし
英,N4,エイ,はなぶさ
館,N4,カン,やかた;たて
屋,N4,オク,や
曜,N4,ヨウ,
質,N4,シツ;シチ;チ,たち;ただ.す;もと;わりふ
肉,N4,ニク,しし
鳥,N4,チョウ,とり
習,N4,シュウ;ジュ,なら.う;なら.い
冬,N4,トウ,ふゆ
昼,N4,チュウ,ひる
茶,N4,チャ;サ,
洋,N4,ヨウ,
弟,N4,テイ;ダイ;デ,おとうと
旅,N4,リョ,たび
牛,N4,ギュウ,うし
映,N4,エイ,うつ.る;うつ.す;は.える;-ば.え
兄,N4,ケイ;キョウ,あに
服,N4,フク,
妹,N4,マイ,いもうと
駅,N4,エキ,
姉,N4,シ,あね;はは
勉,N4,ベン,つと.める
魚,N4,ギョ,うお;さかな;-ざかな
借,N4,シャク,か.りる
飲,N4,イン;オン,の.む;-の.み
飯,N4,ハン,めし
漢,N4,カン,
貸,N4,タイ,か.す;か.し-;かし-
堂,N4,ドウ,
日,N5,ニチ;ジツ,ひ;-び;-か
一,N5,イチ;イツ,ひと-;ひと.つ
人,N5,ジン;ニン,ひと;-り;-と
国,N5,コク,くに
年,N5,ネン,とし
大,N5,ダイ;タイ,おお-;おお.きい;-おお.いに
