ID,Kanji JLPT,Level JLPT,Kanji Kanken,Level Kanken
193,館,N4,館,Cấp 8
194,公,N4,公,Cấp 9
195,園,N4,園,Cấp 9
196,夫,N4,夫,Cấp 7
197,妻,N4,妻,Cấp 6
198,特,N4,特,Cấp 7
199,思,N4,思,Cấp 9
200,料,N4,料,Cấp 7
201,理,N4,理,Cấp 9
202,有,N4,有,Cấp 8
203,会,N4,会,Cấp 9
204,社,N4,社,Cấp 9
205,働,N4,働,Cấp 7
206,作,N4,作,Cấp 9
207,工,N4,工,Cấp 9
208,場,N4,場,Cấp 9
209,始,N4,始,Cấp 8
210,終,N4,終,Cấp 8
211,駅,N4,駅,Cấp 8
212,鉄,N4,鉄,Cấp 8
213,乗,N4,乗,Cấp 8
214,降,N4,降,Cấp 5
215,開,N4,開,Cấp 8
216,閉,N4,閉,Cấp 5
217,発,N4,発,Cấp 8
218,着,N4,着,Cấp 8
219,交,N4,交,Cấp 9
220,通,N4,通,Cấp 9
221,台,N4,台,Cấp 9
222,止,N4,止,Cấp 9
223,色,N4,色,Cấp 9
224,赤,N4,赤,Cấp 10
225,黄,N4,黄,Cấp 9
226,青,N4,青,Cấp 10
227,病,N4,病,Cấp 8
228,院,N4,院,Cấp 8
229,医,N4,医,Cấp 8
230,科,N4,科,Cấp 9
231,薬,N4,薬,Cấp 8
232,待,N4,待,Cấp 8
233,合,N4,合,Cấp 9
234,計,N4,計,Cấp 9
235,研,N4,研,Cấp 8
236,究,N4,究,Cấp 8
237,語,N4,語,Cấp 9
238,文,N4,文,Cấp 10
239,英,N4,英,Cấp 7
240,化,N4,化,Cấp 8
241,数,N4,数,Cấp 9
242,心,N4,心,Cấp 9
243,若,N4,若,Cấp 5
244,集,N4,集,Cấp 8
245,知,N4,知,Cấp 9
246,酒,N4,酒,Cấp 8
247,歌,N4,歌,Cấp 9
248,声,N4,声,Cấp 9
249,楽,N4,楽,Cấp 9
250,味,N4,味,Cấp 8
251,油,N4,油,Cấp 8
252,太,N4,太,Cấp 9
253,細,N4,細,Cấp 9
254,皿,N4,皿,Cấp 8
255,飯,N4,飯,Cấp 7
256,麦,N4,麦,Cấp 9
257,春,N4,春,Cấp 9
258,夏,N4,夏,Cấp 9
259,秋,N4,秋,Cấp 9
260,冬,N4,冬,Cấp 9
261,空,N4,空,Cấp 10
262,星,N4,星,Cấp 9
263,雲,N4,雲,Cấp 9
264,去,N4,去,Cấp 8
265,天,N4,天,Cấp 10
266,晴,N4,晴,Cấp 9
267,雪,N4,雪,Cấp 9
268,風,N4,風,Cấp 9
269,強,N4,強,Cấp 9
270,弱,N4,弱,Cấp 9
271,暑,N4,暑,Cấp 8
272,寒,N4,寒,Cấp 8
273,旅,N4,旅,Cấp 8
274,持,N4,持,Cấp 8
275,世,N4,世,Cấp 8
276,界,N4,界,Cấp 8
277,写,N4,写,Cấp 8
278,真,N4,真,Cấp 8
279,船,N4,船,Cấp 9
280,勉,N4,勉,Cấp 8
281,漢,N4,漢,Cấp 8
282,宿,N4,宿,Cấp 8
283,題,N4,題,Cấp 8
284,質,N4,質,Cấp 6
285,問,N4,問,Cấp 8
286,教,N4,教,Cấp 9
287,室,N4,室,Cấp 9
288,試,N4,試,Cấp 7
289,験,N4,験,Cấp 7
290,答,N4,答,Cấp 9
